1 | Title | Definition | No
23 | NarrativeText | Ultrasound includes all sound waves above the fre- quency of human hearing—about 20 thousand hertz, or cycles per second. Medical ultrasound generally uses fre- quencies between one and 10 million hertz (1-10 MHz). | No
24 | Title | KEY TERMS | No
25 | NarrativeText | Accessory organ—A lump of tissue adjacent to an organ that is similar to it, but which serves no important purpose, if functional at all. While not necessarily harmful, such organs can cause prob- lems if they grow too large or become cancerous. In any case, their presence points to an underlying abnormality in the parent organ. | No
26 | NarrativeText | Benign—In medical usage, benign is the opposite of malignant. It describes an abnormal growth that is stable, treatable and generally not life-threatening. | No
27 | NarrativeText | and expensive to perform, and they use ionizing electromagnetic radiation. | No
28 | NarrativeText | Doppler—The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target. If the object is moving toward the source, the frequency increases; if the object is moving away, the frequen- cy decreases. The size of this frequency shift can be used to compute the object's speed—be it a car on the road or blood in an artery. The Doppler effect holds true for all types of radiation, not just sound. | No
29 | NarrativeText | Biopsy—the surgical removal and analysis of a tis- sue sample for diagnostic purposes. Usually, the term refers to the collection and analysis of tissue from a suspected tumor to establish malignancy. | No
30 | NarrativeText | Calculus—Any type of hard concretion (stone) in the body, but usually found in the gallbladder, pan- creas and kidneys. They are formed by the accumu- lation of excess mineral salts and other organic material such as blood or mucous. Calculi (pl.) can cause problems by lodging in and obstructing the proper flow of fluids, such as bile to the intestines or urine to the bladder. | No
31 | NarrativeText | Cirrhosis—A chronic liver disease characterized by the invasion of connective tissue and the degenera- tion of proper functioning—jaundice is often an accompanying symptom. Causes of cirrhosis include alcoholism, metabolic diseases, syphilis and conges- tive heart disease. | No
32 | NarrativeText | Common bile duct—The branching passage through which bile—a necessary digestive enzyme—travels from the liver and gallbladder into the small intestine. Digestive enzymes from the pancreas also enter the intestines through the com- mon bile duct. | No
33 | NarrativeText | Computed tomography scan (CT scan)—A special- ized type of x-ray imaging that uses highly focused and relatively low energy radiation to produce detailed two-dimensional images of soft tissue structures, particularly the brain. CT scans are the chief competitor to ultrasound and can yield higher quality images not disrupted by bone or gas. They are, however, more cumbersome, time consuming Frequency—Sound, whether traveling through air or the human body, produces vibrations—mole- cules bouncing into each other—as the shock wave travels along. The frequency of a sound is the num- ber of vibrations per second. Within the audible range, frequency means pitch—the higher the fre- quency, the higher a sound's pitch. | No
34 | NarrativeText | lonizing radiation—Radiation that can damage liv- ing tissue by disrupting and destroying individual cells at the molecular level. All types of nuclear radiation—x rays, gamma rays and beta rays—are potentially ionizing. Sound waves physically vibrate the material through which they pass, but do not ionize it. | No
35 | NarrativeText | Jaundice—A condition that results in a yellow tint to the skin, eyes and body fluids. Bile retention in the liver, gallbladder and pancreas is the immediate cause, but the underlying cause could be as simple as obstruction of the common bile duct by a gall- stone or as serious as pancreatic cancer. Ultrasound can distinguish between these conditions. | No
36 | NarrativeText | Malignant—The term literally means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening. | No
37 | NarrativeText | Morphology—Literally, the study of form. In medi- cine, morphology refers to the size, shape and structure rather than the function of a given organ. As a diagnostic imaging technique, ultrasound facil- itates the recognition of abnormal morphologies as symptoms of underlying conditions. | No
38 | NarrativeText | Higher frequency ultrasound waves produce more detailed images, but are also more readily absorbed and so cannot penetrate as deeply into the body. Abdominal ultrasound imaging is generally performed at frequencies between 2-5 MHz. | No
39 | NarrativeText | An ultrasound machine consists of two parts: the transducer and the analyzer. The transducer both produces the sound waves that penetrate the body and receives the reflected echoes. Transducers are built around piezoelec- tric ceramic chips. (Piezoelectric refers to electricity that is produced when you put pressure on certain crystals such as quartz). These ceramic chips react to electric puls- es by producing sound waves ( they are transmitting waves) and react to sound waves by producing electric pulses (receiving). Bursts of high frequency electric puls- es supplied to the transducer causes it to produce the scanning sound waves. The transducer then receives the returning echoes, translates them back into electric pulses and sends them to the analyzer—a computer that orga- nizes the data into an image on a television screen. | No
40 | NarrativeText | Because sound waves travel through all the body’s tissues at nearly the same speed—about 3,400 miles per hour—the microseconds it takes for each echo to be received can be plotted on the screen as a distance into the body. The relative strength of each echo, a function of the specific tissue or organ boundary that produced it, can be plotted as a point of varying brightness. In this way, the echoes are translated into a picture. Tissues surrounded by bone or filled with gas (the stomach, intestines and bowel) cannot be imaged using ultrasound, because the waves are blocked or become randomly scattered. | No
41 | NarrativeText | Four different modes of ultrasound are used in med- ical imaging: « A-mode. This is the simplest type of ultrasound in which a single transducer scans a line through the body with the echoes plotted on screen as a function of depth. This method is used to measure distances within the body and the size of internal organs. Therapeutic ultrasound aimed at a specific tumor or calculus is also A-mode, to allow for pinpoint accurate focus of the destructive wave energy. | No
42 | ListItem | B-mode. In B-mode ultrasound, a linear array of trans- ducers simultaneously scans a plane through the body that can be viewed as a two-dimensional image on screen. Ultrasound probes containing more than 100 transducers in sequence form the basis for these most commonly used scanners, which cost about $50,000. | No
43 | ListItem | M-Mode. The M stands for motion. A rapid sequence of B-mode scans whose images follow each other in sequence on screen enables doctors to see and mea- sure range of motion, as the organ boundaries that produce reflections move relative to the probe. M- | No
44 | NarrativeText | mode ultrasound has been put to particular use in studying heart motion. | No
45 | ListItem | Doppler mode. Doppler ultrasonography includes the capability of accurately measuring velocities of moving material, such as blood in arteries and veins. The prin- ciple is the same as that used in radar guns that measure the speed of a car on the highway. Doppler capability is most often combined with B-mode scanning to produce images of blood vessels from which blood flow can be directly measured. This technique is used extensively to investigate valve defects, arteriosclerosis and hyper- tension, particularly in the heart, but also in the abdom- inal aorta and the portal vein of the liver. These machines cost about $250,000. | No
46 | NarrativeText | The actual procedure for a patient undergoing an abdominal ultrasound is relatively simple, regardless of the type of scan or its purpose. Fasting for at least eight hours prior to the procedure ensures that the stomach is empty and as small as possible, and that the intestines and bowels are relatively inactive. Fasting also allows the gall bladder to be seen, as it contracts after eating and may not be seen if the stomach is full. In some cases, a full bladder helps to push intestinal folds out of the way so that the gas they contain does not disrupt the image. The patient’s abdomen is then greased with a special gel that allows the ultrasound probe to glide easily across the skin while transmitting and receiving ultrasonic pulses. | No
47 | NarrativeText | This procedure is conducted by a doctor with the assistance of a technologist skilled in operating the equipment. The probe is moved around the abdomen to obtain different views of the target areas. The patient will likely be asked to change positions from side to side and to hold their breath as necessary to obtain the desired views. Discomfort during the procedure is minimal. | No
48 | NarrativeText | The many types and uses of ultrasound technology makes it difficult to generalize about the time and costs involved. Relatively simple imaging—scanning a suspi- cious abdominal mass or a suspected abdominal aortic aneurysm—will take about half an hour to perform and will cost a few hundred dollars or more, depending on the quality of the equipment, the operator and other fac- tors. More involved techniques such as multiple M-mode and Doppler-enhanced scans, or cases where the targets not well defined in advance, generally take more time and are more expensive. | No
49 | NarrativeText | Regardless of the type of scan used and the potential difficulties encountered, ultrasound remains faster and less expensive than computed tomography scans (CT), its primary rival in abdominal imaging. Furthermore, as abdominal ultrasounds are generally undertaken as “medically necessary” procedures designed to detect the presence of suspected abnormalities, they are covered under most types of major medical insurance. As always, though, the patient would be wise to confirm that their coverage extends to the specific procedure proposed. For nonemergency situations, most underwriters stipulate prior approval as a condition of coverage. | No
50 | NarrativeText | Specific conditions for which ultrasound may be selected as a treatment option—certain types of tumors, lesions, kidney stones and other calculi, muscle and lig- ament injuries, etc.—are described in detail under the appropriate entries in this encyclopedia. | No
51 | Title | Preparation | No
52 | NarrativeText | A patient undergoing abdominal ultrasound will be advised by their physician about what to expect and how to prepare. As mentioned above, preparations generally include fasting and arriving for the procedure with a full bladder, if necessary. This preparation is particularly use- ful if the gallbladder, ovaries or veins are to be examined. | No
53 | Title | Aftercare | No
54 | NarrativeText | In general, no aftercare related to the abdominal ultrasound procedure itself is required. | No
55 | Title | Risks | No
56 | NarrativeText | Abdominal ultrasound carries with it no recognized risks or side effects, if properly performed using appropri- ate frequency and intensity ranges. Sensitive tissues, par- ticularly those of the reproductive organs, could possibly sustain damage if violently vibrated by overly intense ultrasound waves. In general though, such damage would only result from improper use of the equipment. | No
57 | NarrativeText | Any woman who thinks she might be pregnant should raise this issue with her doctor before undergoing an abdominal ultrasound, as a fetus in the early stages of development could be injured by ultrasound meant to probe deeply recessed abdominal organs. | No
58 | Title | Normal results | No
59 | NarrativeText | As a diagnostic imaging technique, a normal abdom- inal ultrasound is one that indicates the absence of the suspected condition that prompted the scan. For example, symptoms such as a persistent cough, labored breathing, and upper abdominal pain suggest the possibility of, among other things, an abdominal aortic aneurysm. An ultrasound scan that indicates the absence of an aneurysm would rule out this life-threatening condition and point to other, less serious causes. | No
60 | Title | Abnormal results | No
61 | NarrativeText | Because abdominal ultrasound imaging is generally undertaken to confirm a suspected condition, the results of a scan often will prove abnormal—that is they will confirm the diagnosis, be it kidney stones, cirrhosis of the liver or an aortic aneurysm. At that point, appropriate medical treatment as prescribed by a patient’s doctor is in order. See the relevant disease and disorder entries in this encyclopedia for more information. | No
62 | Title | Resources | No
63 | Title | BOOKS | No
64 | ListItem | Hall, Rebecca. The Ultrasonic Handbook: Clinical, Etiologic and Pathologic Implications of Sonographic Findings. Philadelphia: Lippincott, 1993. | No
65 | ListItem | Kevles, Bettyann Holtzmann. Naked to the Bone: Medical Imaging in the Twentieth Century. New Brunswick, NJ: Rutgers University Press, 1997. | No
66 | ListItem | Kremkau, Frederick W. Diagnostic Ultrasound: Principles and Instruments. Philadelphia: W. B. Saunders Co., 1993. | No
67 | ListItem | Shtasel, Philip. Medical Tests and Diagnostic Procedures: A Patient's Guide to Just What the Doctor Ordered. New York: Harper & Row, 1991. | No
68 | ListItem | Tempkin, Betty Bates. Ultrasound Scanning: Principles and Protocols. Philadelphia: W. B. Saunders Co., 1993. | No
69 | ListItem | The Patient's Guide to Medical Tests. Ed. Barry L. Zaret, et al. Boston: Houghton Mifflin, 1997. | No
70 | Title | PERODCALS | No
71 | ListItem | “Ultrasound Detects Stomach Problems.” USA Today Maga- zine (October 1992): 5. | No
72 | ListItem | Freundlich, Naomi. “Ultrasound: What’s Wrong with this Pic- ture?” Business Week (15 September 1997): 84-5. | No
73 | ListItem | McDonagh, D. Brian. “Ultrasound: Unsung Medical Hero.” USA Today Magazine (September 1996): 66-7. | No
74 | ListItem | Murray, Maxine. “Basics of Ultrasonography.” Student British Medical Journal (August 1996): 269-72. | No
75 | ListItem | Tait, N., and J. M. Little. “The Treatment of Gallstones.” British Medical Journal (8 July 1995): 99-105. | No
76 | Title | ORGANZATONS | No
77 | ListItem | American College of Gastroenterology. 4900 B South 31st St., Arlington, VA 22206-1656. (703) 820-7400. <http://www. acg.gi.org>. | No
78 | ListItem | American Institute of Ultrasound in Medicine. 14750 Sweitzer Lane, Suite 100, Laurel, MD 20707-5906. (800) 638- 5352. <http://www.aium.org>. | No
79 | ListItem | American Society of Radiologic Technologists. 15000 Central Ave., SE, Albuquerque, NM 87123-3917. (505) 298-4500. <http://www.asrt.org>. | No
80 | NarrativeText | Kurt Richard Sternlof | No
82 | Title | Definition | No
83 | NarrativeText | Abdominal wall defects are birth (congenital) defects that allow the stomach or intestines to protrude. | No
84 | Title | KEY TERMS | No
85 | NarrativeText | Hernia—Movement of a structure into a place it does not belong. | No
86 | NarrativeText | Umbilical—Referring to the opening in the abdominal wall where the blood vessels from the placenta enter. | No
87 | NarrativeText | Viscera—Any of the body’s organs located in the chest or abdomen. | No
88 | Title | Description | No
89 | NarrativeText | Many unexpected and fascinating events occur dur- ing the development of a fetus inside the womb. The stomach and intestines begin development outside the baby’s abdomen and only later does the abdominal wall enclose them. Occasionally, either the umbilical opening is too large, or it develops improperly, allowing the bow- els or stomach to remain outside or squeeze through the abdominal wall. | No
90 | Title | Causes and symptoms | No
91 | NarrativeText | There are many causes for birth defects that still remain unclear. Presently, the cause(s) of abdominal wall defects is unknown, and any symptoms the mother may have to indicate that the defects are present in the fetus are nondescript. | No
92 | Title | Diagnosis | No
93 | NarrativeText | At birth, the problem is obvious, because the base of the umbilical cord at the navel will bulge or, in worse cases, contain viscera (internal organs). Before birth, an ultrasound examination may detect the problem. It is always necessary in children with one birth defect to look for others, because birth defects are usually multiple. | No
94 | Title | Treatment | No
95 | NarrativeText | Abdominal wall defects are effectively treated with surgical repair. Unless there are accompanying anom- alies, the surgical procedure is not overly complicated. The organs are normal, just misplaced. However, if the defect is large, it may be difficult to fit all the viscera into the small abdominal cavity. | No
96 | Title | Prognosis | No
97 | NarrativeText | If there are no other defects, the prognosis after sur- gical repair of this condition is relatively good. However, | No
98 | NarrativeText | 10% of those with more severe or additional abnormali- ties die from it. The organs themselves are fully function- al; the difficulty lies in fitting them inside the abdomen. The condition is, in fact, a hernia requiring only replace- ment and strengthening of the passageway through which it occurred. After surgery, increased pressure in the stretched abdomen can compromise the function of the organs inside. | No
99 | Title | Prevention | No
100 | NarrativeText | Some, but by no means all, birth defects are pre- ventable by early and attentive prenatal care, good nutri- tion, supplemental vitamins, diligent avoidance of all unnecessary drugs and chemicals—especially tobacco— and other elements of a healthy lifestyle. | No
101 | Title | Resources | No
102 | Title | PERODCALS | No
103 | ListItem | Dunn, J. C., and E. W. Fonkalsrud. “Improved Survival of Infants with Omphalocele.” American Journal of Surgery 173 (April 1997): 284-7. | No
104 | ListItem | Langer, J. C. “Gastroschisis and Omphalocele.” Seminars in Pediatric Surgery 5 (May 1996): 124-8. | No
105 | NarrativeText | J. Ricker Polsdorfer, MD Abnormal heart rhythms see Arrhythmias ABO blood typing see Blood typing and crossmatching | No
106 | ListItem | ABO incompatibility see Erythroblastosis fetalis | No
107 | Title | fetalis | No
108 | NarrativeText | Abortion, habitual see Recurrent miscarriage | No
110 | Title | Definition | No
111 | NarrativeText | Partial birth abortion is a method of late-term abor- tion that terminates a pregnancy and results in the death and intact removal of a fetus. This procedure is most commonly referred to as intact dilatation and extraction (D & X). | No
112 | Title | Purpose | No
113 | NarrativeText | Partial birth abortion, or D&X, is performed to end a pregnancy and results in the death of a fetus, typically in the late second or third trimester. Although D&X is high- ly controversial, some physicians argue that it has advan- tages that make it a preferable procedure in some circum- stances. One perceived advantage is that the fetus is removed largely intact, allowing for better evaluation and autopsy of the fetus in cases of known fetal anomalies. Intact removal of the fetus may also confer a lower risk of puncturing the uterus or damaging the cervix. Another perceived advantage is that D&X ends the pregnancy without requiring the woman to go through labor, which may be less emotionally traumatic than other methods of late-term abortion. In addition, D&X may offer a lower cost and shorter procedure time. | No
114 | Title | Precautions | No
115 | NarrativeText | Women considering D&X should be aware of the highly controversial nature of this procedure. A contro- versy common to all late-term abortions is whether the fetus is viable, or able to survive outside of the woman’s body. A specific area of controversy with D&X is that fetal death does not occur until after most of the fetal body has exited the uterus. Several states have taken legal action to limit or ban D&X and many physicians who perform abortions do not perform D&X. This may restrict the availability of this procedure to women seek- ing late-term abortion. | No
116 | Title | Description | No
117 | NarrativeText | Intact D&X, or partial birth abortion first involves administration of medications to cause the cervix to dilate, usually over the course of several days. Next, the physician rotates the fetus to a footling breech position. The body of the fetus is then drawn out of the uterus feet first, until only the head remains inside the uterus. Then, the physician uses an instrument to puncture the base of the skull, which collapses the fetal head. Typically, the contents of the fetal head are then partially suctioned out, which results in the death of the fetus, and reduces the sizes of the fetal head enough to allow it to pass through the cervix. The dead and otherwise intact fetus is then removed from the woman’s body. | No
118 | Title | Preparation | No
119 | NarrativeText | Medical preparation for D&X involves an outpatient visit to administer medications, such as /aminaria, to cause the cervix to begin dilating. | No
120 | NarrativeText | In addition, preparation may involve fulfilling local legal requirements, such as a mandatory waiting period, counseling, or an informed consent procedure reviewing stages of fetal development, childbirth, alternative abor- tion methods, and adoption. | No
121 | Title | KEY TERMS | No
122 | NarrativeText | Cervix—tThe narrow outer end of the uterus that separates the uterus from the vaginal canal. | No
123 | NarrativeText | Footling breech—A position of the fetus while in the uterus where the feet of the fetus are nearest the cervix would be the first part of the fetus to exit the uterus, with the head of the fetus being the last part to exit the uterus. | No
124 | NarrativeText | Laminaria—A medical product made from a cer- tain type of seaweed that is physically placed near the cervix to cause it to dilate. | No
125 | Title | Aftercare | No
126 | NarrativeText | D&X typically does not require an overnight hospi- tal stay, so a follow up appointment may be scheduled to monitor the woman for any complications. | No
127 | Title | Risks | No
128 | NarrativeText | With all abortion, the later in pregnancy an abortion is performed, the more complicated the procedure and the greater the risk of injury to the woman. In addition to associated emotion reactions, D&X carries the risk of injury to the woman, including heavy bleeding, blood clots, damage to the cervix or uterus, pelvic infection, and anesthesia-related complications. There is also a risk of incomplete abortion, meaning that the fetus is not dead when removed from the woman’s body. Possible long-term risks include difficulty becoming pregnant or carrying a future pregnancy to term. | No
129 | Title | Normal results | No
130 | NarrativeText | The expected outcome of D&X is the termination of a pregnancy with removal of a dead fetus from the woman’s body. | No
131 | Title | Resources | No
132 | Title | PERODCALS | No
133 | ListItem | Epner, Janet E., et al. “Late-term Abortion.” JAMA 280, no. 8 (26 August 1998): 724-729. | No
134 | ListItem | Sprang, M. LeRoy, and Neerhof, Mark G. “Rationale for Ban- ning Abortions Late in Pregnancy.” JAMA (26 August 1998): 744-747. | No
135 | ListItem | Swomley, John M. “The ‘Partial-birth’ Debate in 1998.” Humanist (March/April 1998): 5-7. | No
136 | ListItem | Grimes, David A. “The Continuing Need for Late Abortion.” JAMA (26 August 1998): 747-750. | No
137 | Title | ORGANZATONS | No
138 | ListItem | Planned Parenthood Federation of America. 810 Seventh Ave., New York, NY 10019. (212) 541-7800. FAX: (212) 245- 1845. | No
139 | Title | OTHER | No
140 | NarrativeText | Status of partial-birth abortion laws in the states. Othmer Insti- tute at Planned Parenthood of NYC. 2000. | No
141 | NarrativeText | Stefanie B. N. Dugan, M.S. | No
143 | Title | Definition | No
144 | NarrativeText | Selective abortion, also known as selective reduc- tion, refers to choosing to abort a fetus, typically in a multi-fetal pregnancy, to decrease the health risks to the mother in carrying and giving birth to more than one or two babies, and also to decrease the risk of complications to the remaining fetus(es). The term selective abortion also refers to choosing to abort a fetus for reasons such as the woman is carrying a fetus which likely will be born with some birth defect or impairment, or because the sex of the fetus is not preferred by the individual. | No
145 | Title | Purpose | No
146 | NarrativeText | A woman may decide to abort for health reasons, for example, she is at higher risk for complications during preg- nancy because of a disorder or disease such as diabetes. | No
147 | NarrativeText | However, selective reduction is recommended often in cases of multi-fetal pregnancy, or the presence of more than one fetus, typically, at least three or more fetuses. In the general population, multi-fetal pregnancy happens in only about 1-2% of pregnant women. But multi-fetal pregnan- cies occur far more often in women using fertility drugs. | No
148 | Title | Precautions | No
149 | NarrativeText | Because women or couples who use fertility drugs have made an extra effort to become pregnant, it is possi- ble that the individuals may be unwilling or uncomfort- able with the decision to abort a fetus in cases of multi- fetal pregnancy. Individuals engaging in fertility treat- ment should be made aware of the risk of multi-fetal pregnancy and consider the prospect of recommended reduction before undergoing fertility treatment. | No
150 | Title | Description | No
151 | NarrativeText | Selective reduction is usually performed between nine and 12 weeks of pregnancy and is most successful when performed in early pregnancy. It is a simple proce- dure and can be performed on an outpatient basis. A nee- dle is inserted into the woman’s stomach or vagina and potassium chloride is injected into the fetus. | No
152 | Title | Preparation | No
153 | NarrativeText | Individuals who have chosen selective reduction to safeguard the remaining fetuses should be counseled prior to the procedure. Individuals should receive infor- mation regarding the risks of a multi-fetal pregnancy to both the fetuses and the mother compared with the risks after the reduction. | No
154 | NarrativeText | Individuals seeking an abortion for any reason should consider the ethical implications whether it be because the fetus is not the preferred sex or because the fetus would be born with a severe birth defect. | No
155 | Title | Aftercare | No
156 | NarrativeText | Counseling should continue after the abortion because it is a traumatic event. Individuals may feel guilty about choosing one fetus over another. Mental health professionals should be consulted throughout the process. | No
157 | Title | Risks | No
158 | NarrativeText | About 75% of women who undergo selective reduc- tion will go into premature labor. About 4-5% of women undergoing selective reduction also miscarry one or more of the remaining fetuses. The risks associated with multi-fetal pregnancy is considered higher. | No
159 | Title | Normal results | No
160 | NarrativeText | In cases where a multi-fetal pregnancy, three or more fetuses, is reduced to two, the twin fetuses typically develop as they would as if they were conceived as twins. | No
161 | Title | Resources | No
162 | Title | BOOKS | No
163 | ListItem | Knobil, Ernst and Jimmy D. Neill, editors. “Abortion.” In Encyclopedia of Reproduction. San Diego: Adademic Press, 1998, pp.1-5. | No
164 | ListItem | Scott, James R., editor. “Induced Abortion.” In Danforth’s Obstetrics and Gynecology. Philadelphia: Lippincott Williams & Wilkins, 1999, pp.567-578. | No
165 | Title | PERODCALS | No
166 | ListItem | Author unspecified. “Multiple Pregnancy Associated With Infertility Therapy.” American Society for Reproductive Medicine, A Practice Committee Report (November 2000): 1-8. | No
167 | Title | KEY TERMS | No
168 | NarrativeText | Multi-fetal pregnancy—A pregnancy of two or more fetuses. | No
169 | NarrativeText | Selective reduction—Typically referred to in cases of multifetal pregnancy, when one or more fetuses are aborted to preserve the viability of the remain- ing fetuses and decrease health risks to the mother. | No
170 | Title | ORGANZATONS | No
171 | ListItem | The American Society for Reproductive Medicine. 1209 Mont- gomery Highway, Birmingham, AL 35216-2809. (205) 978-5000. <http://www.asrm.org>. | No
172 | ListItem | The Alan Guttmacher Institute. 120 Wall Street, New York, NY 10005. (212) 248-1111. <http://www.agi-usa.org>. | No
173 | NarrativeText | Meghan M. Gourley Abortion, spontaneous see Miscarriage | No
175 | Title | Definition | No
176 | NarrativeText | Therapeutic abortion is the intentional termination of a pregnancy before the fetus can live independently. Abortion has been a legal procedure in the United States since 1973. | No
177 | Title | Purpose | No
178 | NarrativeText | An abortion may be performed whenever there is some compelling reason to end a pregnancy. Women have abortions because continuing the pregnancy would cause them hardship, endanger their life or health, or because prenatal testing has shown that the fetus will be born with severe abnormalities. | No
179 | NarrativeText | Abortions are safest when performed within the first six to 10 weeks after the last menstrual period. The cal- culation of this date is referred to as the gestational age and is used in determining the stage of pregnancy. For example, a woman who is two weeks late having her period is said to be six weeks pregnant, because it is six weeks since she last menstruated. | No
180 | NarrativeText | About 90% of women who have abortions do so before 13 weeks and experience few complications. Abortions performed between 13-24 weeks have a higher rate of complications. Abortions after 24 weeks are extremely rare and are usually limited to situations where the life of the mother is in danger. | No
